direccion,latitude,longitude,numero,compromiso,accion,eje,Area temática,anio,Barrio,Comuna,descripcion
Avenida Costanera Rafael Obligado,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Aeroparque,Disfrute y Convivencia,,2019,,,110 Hectáreas Verdes (Aeroparque)
Av. Don Pedro de Mendoza y Av. Regimiento de los Patricios,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 1,Disfrute y Convivencia,,2019,,,
Pedro de Luján y Río Limay,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 2,Disfrute y Convivencia,,2019,,,
Iguazú,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 3,Disfrute y Convivencia,,2019,,,
Av. Medrano y Bartolomé Mitre,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Correor Verde del Oeste (Cruce Medrano),Disfrute y Convivencia,,2019,,,
Cramer 475,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Cramer,Disfrute y Convivencia,,2019,,,110 Hectáreas Verdes (Plaza Cramer)
Av. Alicia Moreau de Justo 2100,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Dique 0,Disfrute y Convivencia,,2019,,,
Av. Coronel Ramón Lorenzo Falcon y Av. Olivera,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),El Olimpo,Disfrute y Convivencia,,2019,,,
Av. Piedra Buena y Av. José I. de la Rosa,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Elefante Blanco,Disfrute y Convivencia,,2019,,,
Olavarría y Av. Vélez Sarsfield,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Estación Buenos Aires,Disfrute y Convivencia,,2019,,,
Av. Belgrano y Catamarca,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Manzana 66,Disfrute y Convivencia,,2019,,,
Tte. Gral. Juan Domingo Perón y Av. Díaz Vélez,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Parque de la Estación,Disfrute y Convivencia,,2019,,,
Av. Paseo Colón y Moreno,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Parque del Bajo,Disfrute y Convivencia,,2019,,,
Elcano y Del Campo,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Elcano,Disfrute y Convivencia,,2019,,,
Padre Carlos Mugica,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Parque Lineal Illia,Disfrute y Convivencia,,2019,,,
Av. Don Pedro de Mendoza y California,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Paseo de la Ribera Etapa 1,Disfrute y Convivencia,,2019,,,
Av. Don Pedro de Mendoza y Carlos F. Melo,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Paseo de la Ribera Etapa 2,Disfrute y Convivencia,,2019,,,
Av. Leandro N. Alem y Tucumán,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Paseo del Bajo,Disfrute y Convivencia,,2019,,,
Beiró y Estado Plurinacional de Bolivia,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Paso Bajo Nivel Beiró,Disfrute y Convivencia,,2019,,,
Figueroa Alcorta y Romero,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza República Federativa de Brasil,Disfrute y Convivencia,,2019,,,
Monroe y Homberg,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Monroe,Disfrute y Convivencia,,2019,,,
Empedrado 2391,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Empedrado,Disfrute y Convivencia,,2019,,,
Godoy Cruz y Paraguay,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza de las Ciencias,Disfrute y Convivencia,,2019,,,
Aguaribay y Gana,-35,-59,40,110 hectáreas de nuevo espacio verde público (2019),PP Aguaribay 6768,Disfrute y Convivencia,,2019,,,
Albarracin y Av. Vernet,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),PP Albarracín 1470,Disfrute y Convivencia,,2019,,,
Av. Gral. Francisco Fernandez de la Cruz y Av. Escalada,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Villa Olimpica,Disfrute y Convivencia,,2019,,,
Av. 27 de Febrero y Arroyo Cildañez,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Parque natural Lugano,Disfrute y Convivencia,,2019,,,
Tucumán y Talcahuano,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Lavalle,Disfrute y Convivencia,,2019,,,
Av. Rivadavia y Av. 25 de Mayo,-35,-58,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Congreso,Disfrute y Convivencia,,2019,,,
