numero,compromiso,titulo,desc,categoria,slug,area1,area2,area3,area4,embed_map_titulo,embed_map_url,imagen,cumplimiento,cumplimiento_label,porcentaje_completado,cumplimiento_2,cumplimiento_2_label,cumplimiento_2_porcentaje_completado,url_interna
1,Solucionar los reclamos por baches en 15 dias,Baches solucionados en 15 días,¡Compromiso cumplido! Nos comprometimos a reducir a 15 días el plazo de solución del 100% de los nuevos baches desde que son identificados.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/1baches.jpg,2016,Baches resueltos en 15 días,100,,,,http://www.buenosaires.gob.ar/compromisos/solucionar-los-reclamos-por-baches-en-15-dias
2,Duplicar la capacidad de reciclado de basura,Duplicar la capacidad de reciclado de basura,"Nos comprometemos a implementar un plan de separación en origen, un servicio de recolección puerta a puerta, la instalación de campanas reciclables, la ampliación de puntos verdes y la captación de nuevos generadores especiales.",Disfrute y Convivencia,disfrute,Más espacio público y verde de calidad,,,,Mapa de Puntos Verdes y Centros de Reciclado en la Ciudad,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_reciclado/,https://cdn2.buenosaires.gob.ar/compromisos/2reciclado.jpg,2019,Avance en actividades,85,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-nuestra-capacidad-de-reciclado
3,Integrar a 100.000 adultos mayores al mundo digital,Integrar a 100.000 adultos mayores al mundo digital,¡Compromiso cumplido! Nos comprometimos a integrar a 100.000 adultos mayores para 2017 en el uso de nuevas tecnologías y a promover su acceso real a dispositivos tecnológicos.,Creatividad,creatividad,Creatividad y Cultura,,,,Mapa de aulas digitales,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_postas_digitales/,https://cdn2.buenosaires.gob.ar/compromisos/3adultosmayores.jpg,2017,Distribución de equipos,100,,,,http://www.buenosaires.gob.ar/compromisos/integrar-100000-adultos-mayores-al-mundo-digital
4,Reducir un 30% las muertes en siniestros viales,Reducir un 30% las muertes en siniestros viales,"Nos comprometemos a reducir un 30% las muertes por siniestros viales a través de acciones como operativos en la vía pública, demarcaciones y señalizaciones, intervenciones en torno a escuelas y hospitales e incorporación de equipamiento y nuevos agentes de tránsito.",Disfrute y Convivencia,disfrute,Transporte público seguro y de calidad,Seguridad,,,,,https://cdn2.buenosaires.gob.ar/compromisos/4seguridadvial.jpg,2019,Avance en actividades,59,,,,http://www.buenosaires.gob.ar/compromisos/reducir-las-victimas-fatales-en-siniestros-viales-en-un-30
5,12 nuevas plazas,12 nuevas plazas,"¡Compromiso cumplido! Se crearon 12 nuevos espacios verdes que privilegian el uso recreativo, la movilidad peatonal y la movilidad sustentable. Su ubicación fue planeada en lugares donde la oferta de parques y plazas es escasa para las necesidades del barrio.",Ciudad a Escala Humana,humana,Más espacio público y verde de calidad,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/5plazas.jpg,2019,Porcentaje de plazas inauguradas,100,,,,http://www.buenosaires.gob.ar/compromisos/creacion-de-12-nuevas-plazas
6,8 nuevos corredores de Metrobus,8 nuevos corredores de Metrobus,Nos comprometemos a completar tres nuevos corredores de Metrobus en la Ciudad y articular el sistema existente con cinco nuevos corredores metropolitanos que se construirán en el Gran Buenos Aires.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,,,,Mapa de la red de Metrobus,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_metrobus/,https://cdn2.buenosaires.gob.ar/compromisos/6metrobus.jpg,2019,Corredores CABA y PBA,75,2019,Corredores de CABA,100,http://www.buenosaires.gob.ar/compromisos/8-corredores-nuevos-de-metrobus
7,Un subte cada 3 minutos con WIFI gratis en toda la red,Subte cada 3 minutos y WIFI,Nos comprometemos a reducir el tiempo promedio entre formaciones en hora pico a tres minutos y ampliar la cobertura actual de la red BA WiFi a toda la red.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_subte/,https://cdn2.buenosaires.gob.ar/compromisos/7subte.jpg,2016,Mejora de frecuencia,85,2016,Avance de instalación WIFI,100,http://www.buenosaires.gob.ar/compromisos/un-subte-cada-3-minutos-con-wifi-gratis-en-toda-la-red
8,Transformar la Villa Olímpica en 1.200 viviendas,Transformar la Villa Olímpica en viviendas,"Nos comprometemos a que, luego de los Juegos Olímpicos de la Juventud 2018, las obras realizadas se aprovechen para generar 1.200 viviendas en el sur de la Ciudad.",Integración Social,social,Grandes obras públicas,Desarrollo humano y Salud,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_villa_olimpica/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/olimpica.jpg?itok=cT8feDxR,2019,Avance de obra + Entrega de viviendas,80,,,,http://www.buenosaires.gob.ar/compromisos/transformar-la-villa-olimpica-en-1200-viviendas
9,Construir el Paseo del Bajo,Construir el Paseo del Bajo,Nos comprometemos a construir el Paseo del Bajo para conectar la autopista Illia con la autopista Buenos Aires - La Plata.,Ciudad a Escala Humana,humana,Transporte público seguro y de calidad,Grandes obras públicas,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_paseo_del_bajo/,https://cdn2.buenosaires.gob.ar/compromisos/9paseodelbajo.jpg,2019,Avance de obra,83,,,,http://www.buenosaires.gob.ar/compromisos/paseo-del-bajo-conectar-illia-au-la-plata
10,3.000 alumnos continuarán estudiando,3.000 alumnos continuarán estudiando,"Nos comprometemos a reducir el abandono escolar, logrando que 3.000 alumnos de secundaria continúen estudiando.",Integración Social,social,Transformación educativa,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/10abandonoescolar.jpg,2019,Porcentaje cumplimiento de la meta,83,,,,http://www.buenosaires.gob.ar/compromisos/3000-alumnos-de-secundaria-continuen-estudiando
