numero,compromiso,titulo,desc,categoria,slug,icono,subarea,area1,area2,area3,area4,embed_map_titulo,embed_map_url,imagen,n_metas,metas,metrica,cumplimiento,cumplimiento_label,porcentaje_completado,cumplimiento_2,cumplimiento_2_label,cumplimiento_2_porcentaje_completado,detalle_1,detalle_1_nombre,detalle_1_nota,detalle_1_fuente,detalle_1_descripcion,detalle_2,detalle_2_nombre,detalle_2_nota,detalle_2_fuente,detalle_2_descripcion,detalle_3,detalle_3_nombre,detalle_3_nota,detalle_3_fuente,detalle_3_descripcion,detalle_4,detalle_4_nombre,detalle_4_nota,detalle_4_fuente,detalle_4_descripcion,url_interna,comunas
1,Solucionar los reclamos por baches en 15 dias,Baches solucionados en 15 días,¡Compromiso cumplido! Nos comprometimos a reducir a 15 días el plazo de solución del 100% de los nuevos baches desde que son identificados.,Ciudad a Escala Humana,humana,obrero,Infraestructura,Transporte público seguro y de calidad,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/1baches.jpg,1,,,2016,Baches resueltos en 15 días,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/1.1 Baches.csv,"Baches que se resuelven en 15 días, en porcentajes (2016)",,Tablero de control SAP - Demanda Ciudadana,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/1.2 Baches.csv,Promedio de días corridos para solucionar un bache (2016),,Tablero de control SAP - Demanda Ciudadana,,,,,,,https://youtu.be/FsNBtHGDtm0,Cómo trabajan los camiones reparadores de bacheos de la Ciudad,,,,http://www.buenosaires.gob.ar/compromisos/solucionar-los-reclamos-por-baches-en-15-dias,"1,2,3,4,5"
2,Duplicar la capacidad de reciclado de basura,Duplicar la capacidad de reciclado de basura,"Nos comprometemos a implementar un plan de separación en origen, un servicio de recolección puerta a puerta, la instalación de campanas reciclables, la ampliación de puntos verdes y la captación de nuevos generadores especiales.",Disfrute y Convivencia,disfrute,reciclar,Ecología,Más espacio público y verde de calidad,,,,Mapa de Puntos Verdes y Centros de Reciclado en la Ciudad,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_reciclado/,https://cdn2.buenosaires.gob.ar/compromisos/2reciclado.jpg,1,,,2019,Avance en actividades,85,,,,,,,,,,,,,,,,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/duplicar-nuestra-capacidad-de-reciclado,"2,3,4,5"
3,Integrar a 100.000 adultos mayores al mundo digital,Integrar a 100.000 adultos mayores al mundo digital,¡Compromiso cumplido! Nos comprometimos a integrar a 100.000 adultos mayores para 2017 en el uso de nuevas tecnologías y a promover su acceso real a dispositivos tecnológicos.,Creatividad,creatividad,ancianos,Accesibilidad,Creatividad y Cultura,,,,Mapa de aulas digitales,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_postas_digitales/,https://cdn2.buenosaires.gob.ar/compromisos/3adultosmayores.jpg,1,,,2017,Distribución de equipos,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/3.1 Adultos mayores.csv,Tablets gratuitas distribuidas a adultos mayores,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/3.2 Adultos mayores.csv,Uso de tecnologías por rango etario en Ciudad de Buenos Aires (2010),,"Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA) sobre la base de datos de INDEC. Censo Nacional de Población, Hogares y Viviendas 2010.",,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/3.3 Adultos mayores.csv,"Población mayor de 65 años. Comparación nacional, en porcentajes (2010)",,"INDEC, Censo poblacional, 2010.",,,,,,,http://www.buenosaires.gob.ar/compromisos/integrar-100000-adultos-mayores-al-mundo-digital,"3,6,7,8"
4,Reducir un 30% las muertes en siniestros viales,Reducir un 30% las muertes en siniestros viales,"Nos comprometemos a reducir un 30% las muertes por siniestros viales a través de acciones como operativos en la vía pública, demarcaciones y señalizaciones, intervenciones en torno a escuelas y hospitales e incorporación de equipamiento y nuevos agentes de tránsito.",Disfrute y Convivencia,disfrute,subte,Vialidad,Transporte público seguro y de calidad,Seguridad,,,,,https://cdn2.buenosaires.gob.ar/compromisos/4seguridadvial.jpg,1,,,2019,Avance en actividades,59,,,,http://cdn2.buenosaires.gob.ar/compromisos/design_infografias-23-a.png,Personas que se capacitarán en educación vial,,,,http://i.imgur.com/dsmnFXG.gif,Cómo vamos a lograrlo,,,,https://www.youtube.com/watch?v=zQCnAj8LqMc,,,,,https://youtu.be/7K_OALtwI_I,,,,,http://www.buenosaires.gob.ar/compromisos/reducir-las-victimas-fatales-en-siniestros-viales-en-un-30,"9,10,11,12,13,14,15"
5,12 nuevas plazas,12 nuevas plazas,"¡Compromiso cumplido! Se crearon 12 nuevos espacios verdes que privilegian el uso recreativo, la movilidad peatonal y la movilidad sustentable. Su ubicación fue planeada en lugares donde la oferta de parques y plazas es escasa para las necesidades del barrio.",Ciudad a Escala Humana,humana,arbol,Espacios verdes,Más espacio público y verde de calidad,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/5plazas.jpg,1,,,2019,Porcentaje de plazas inauguradas,100,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/5.1 Plazas.csv,"Avance de las obras por plaza, en porcentajes",,MAyEP y MDUyT,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/5.4 Plazas.csv,"Tipos de espacios verdes públicos, en hectáreas",En base a datos del Ministerio de Ambiente y Espacio Público.,"Estadísticas y Censos CABA, 2014",,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/5.3 Plazas.csv,"Espacios verdes públicos por habitante y por ciudad, en m²",,"Índice de ciudades verdes de América Latina, BID, Estadísticas y Censos CABA (2016), Observatorio urbano del Ministerio de Vivienda y Urbanismo de Chile y Defensoría del Espacio Público de Bogotá",,,,,,,http://www.buenosaires.gob.ar/compromisos/creacion-de-12-nuevas-plazas,"1,2,3,4,5"
6,8 nuevos corredores de Metrobus,8 nuevos corredores de Metrobus,Nos comprometemos a completar tres nuevos corredores de Metrobus en la Ciudad y articular el sistema existente con cinco nuevos corredores metropolitanos que se construirán en el Gran Buenos Aires.,Ciudad a Escala Humana,humana,subte,Transporte Público,Transporte público seguro y de calidad,,,,Mapa de la red de Metrobus,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_metrobus/,https://cdn2.buenosaires.gob.ar/compromisos/6metrobus.jpg,2,12.7 km nuevos de Metrobús para 3 corredores CABA. 24.7 km d de Metrobús para 5 corredores en PBA,,2019,Corredores CABA y PBA,75,2019,Corredores de CABA,100,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/6.1 Metrobus.csv,"Corredores de Metrobús realizados, en kilómetros",,MDUyT,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/6.2 Metrobus.csv,Pasajeros diarios por corredor de Metrobús,,MDUyT,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/6.3 Metrobus.csv,"Avance de obras, en porcentajes",,MDUyT,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/6.4 Metrobus.csv,"Longitud comparada de los principales sistemas de la región, en kilómetros",,Gobierno de la Ciudad de Buenos Aires y Global BRT Data.,,http://www.buenosaires.gob.ar/compromisos/8-corredores-nuevos-de-metrobus,"2,3,4,5"
7,Un subte cada 3 minutos con WIFI gratis en toda la red,Subte cada 3 minutos y WIFI,Nos comprometemos a reducir el tiempo promedio entre formaciones en hora pico a tres minutos y ampliar la cobertura actual de la red BA WiFi a toda la red.,Ciudad a Escala Humana,humana,subte,Transporte Público,Transporte público seguro y de calidad,,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_subte/,https://cdn2.buenosaires.gob.ar/compromisos/7subte.jpg,1,,,2016,Mejora de frecuencia,85,2016,Avance de instalación WIFI,100,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/7.1 Subte.csv,"Frecuencia promedio en hora pico, en minutos, por línea",NOTA: Se considera horario pico de 8 a 9 horas.,Subterráneos de Buenos Aires Sociedad del Estado,,https://youtu.be/22YS62UexCg,Seguimos sumando coches en todas las líneas,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/7.2 Subte.csv,"Pasajeros transportados por línea de subterráneo o premetro, en millones. Ciudad de Buenos Aires, 2010-2019",,"Estadísticas y Censos de la Ciudad de Buenos Aires, 2015",,,,,,,http://www.buenosaires.gob.ar/compromisos/un-subte-cada-3-minutos-con-wifi-gratis-en-toda-la-red,"3,6,7,8"
8,Transformar la Villa Olímpica en 1.200 viviendas,Transformar la Villa Olímpica en viviendas,"Nos comprometemos a que, luego de los Juegos Olímpicos de la Juventud 2018, las obras realizadas se aprovechen para generar 1.200 viviendas en el sur de la Ciudad.",Integración Social,social,persona,Vivienda,Grandes obras públicas,Desarrollo humano y Salud,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_villa_olimpica/,https://www.buenosaires.gob.ar/sites/gcaba/files/styles/interna_noticia/public/field/image/olimpica.jpg?itok=cT8feDxR,1,,,2019,Avance de obra + Entrega de viviendas,80,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/8.1 Villa Olímpica.csv,"Avance de actividades, en porcentajes",,MDUyT,,http://cdn2.buenosaires.gob.ar/compromisos/design_infografias-25-a.png,"La Villa Olímpica, por dentro",,,,https://youtu.be/FLZ3lAHrFp4,Finalizaron las obras de la Villa Olímpica,,,,https://youtu.be/VIuj4-8VrI4,Así son los departamentos del Barrio Olímpico,,,,http://www.buenosaires.gob.ar/compromisos/transformar-la-villa-olimpica-en-1200-viviendas,"9,10,11,12,13,14,15"
9,Construir el Paseo del Bajo,Construir el Paseo del Bajo,Nos comprometemos a construir el Paseo del Bajo para conectar la autopista Illia con la autopista Buenos Aires - La Plata.,Ciudad a Escala Humana,humana,obrero,Infraestructura,Transporte público seguro y de calidad,Grandes obras públicas,,,,https://epok.buenosaires.gob.ar/pub/mapa/secretariageneral/compromiso_paseo_del_bajo/,https://cdn2.buenosaires.gob.ar/compromisos/9paseodelbajo.jpg,1,,,2019,Avance de obra,83,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/9.1 Paseo del Bajo.csv,"Avance de obra, en porcentajes",,MDUyT,,http://cdn2.buenosaires.gob.ar/compromisos/design_infografias-24-a.png,La obra en números,,,,,,,,,https://youtu.be/IVabMxVFey8,Recorré el futuro Paseo del Bajo,,,,http://www.buenosaires.gob.ar/compromisos/paseo-del-bajo-conectar-illia-au-la-plata,"1,2,3,4,5"
10,3.000 alumnos continuarán estudiando,3.000 alumnos continuarán estudiando,"Nos comprometemos a reducir el abandono escolar, logrando que 3.000 alumnos de secundaria continúen estudiando.",Integración Social,social,escuela,Educación,Transformación educativa,,,,,,https://cdn2.buenosaires.gob.ar/compromisos/10abandonoescolar.jpg,1,,,2019,Porcentaje cumplimiento de la meta,83,,,,,,,,,http://recursos-data.buenosaires.gob.ar/ckan2/compromisos/10.2 Abandono.csv,Abandono interanual en secundaria estatal (Proyección y avance real),,Ministerio de Educación,,https://youtu.be/bEYxUmlRkrk,Juntos en un gran paso,,,,,,,,,http://www.buenosaires.gob.ar/compromisos/3000-alumnos-de-secundaria-continuen-estudiando,"2,3,4,5"
